Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Days,Lot,Unit,Year,HOA,Open,Link
459900,600880,461000,721000,,1989 Steeple Chase Bnd,5,4,3248,,,,,,,Open 8/15,https://www.movoto.com/home/1989-steeple-chase-bnd-apex-nc-27502-413_2336545
290000,281979,257000,308000,,404 Brierridge Dr,3,3,1649,176,1,7841,Sqft,1999,32,Open 8/15,https://www.movoto.com/home/404-brierridge-dr-apex-nc-27502-413_2336485
470000,439247,396000,520000,,1817 Bodwin Ln,3,3,2539,185,4,8712,Sqft,2014,69,Open 8/15,https://www.movoto.com/home/1817-bodwin-ln-apex-nc-27502-413_2336106
425000,451248,398000,551000,,230 Garden Plaza Way,4,3,2686,,,,,,,Open 8/14,https://www.movoto.com/home/230-garden-plaza-way-apex-nc-27502-413_2335700
314900,319725,315000,329000,,657 Grand Central Sta #119,3,4,2205,143,7,1307,Sqft,2020,163,Open 8/15,https://www.movoto.com/home/657-grand-central-sta-apt-119-apex-nc-27502-413_2335490
229500,212271,196000,243000,,207 Sparta Ln,3,2,1227,187,7,3920,Sqft,1999,5,Open 8/15,https://www.movoto.com/home/207-sparta-ln-apex-nc-27502-413_2192396
300000,269280,267000,299000,,607 Old Mill Village Dr,3,3,1870,160,8,1307,Sqft,2013,146,Open 8/14,https://www.movoto.com/home/607-old-mill-village-dr-apex-nc-27502-413_2335353
339900,338625,302000,393000,,307 Piney Woods Ln,3,3,1935,176,9,8276,Sqft,1999,31,Open 8/15,https://www.movoto.com/home/307-piney-woods-ln-apex-nc-27502-413_2173236
350000,289460,279000,349000,10000,554 Chessie Sta,3,3,1765,198,14,2614,Sqft,2017,163,Open 8/15,https://www.movoto.com/home/554-chessie-sta-apex-nc-27502-413_2334156
399900,,400000,451000,,101 Sharp Top Trl,4,3,2856,140,20,5227,Sqft,2008,37,Open 8/15,https://www.movoto.com/home/101-sharp-top-trl-apex-nc-27502-413_2332857
358900,,351000,390000,27000,2041 Ackerman Hill Dr,3,4,2438,147,31,1742,Sqft,2018,119,Open 8/15,https://www.movoto.com/home/2041-ackerman-hill-dr-apex-nc-27502-413_2330539
286900,269808,251000,288000,6000,815 Homestead Park Dr,3,3,1533,187,34,6534,Sqft,1999,13,Open 8/16,https://www.movoto.com/home/815-homestead-park-dr-apex-nc-27502-413_2321004
315000,318843,308000,325000,5000,1009 Drayman Pl,3,4,2169,,,,,,,Open 8/15,https://www.movoto.com/home/1009-drayman-pl-apex-nc-27502-413_2324281
329000,325200,319000,338000,,2849 Dallas Valley Ln #51,3,4,2168,152,59,1873,Sqft,2020,125,Open 8/14,https://www.movoto.com/home/2849-dallas-valley-ln-apt-51-apex-nc-27502-413_2325148
350000,,336000,361000,1000,1488 Salem Creek Dr #21,3,3,2284,153,85,2614,Sqft,2020,100,Open 8/15,https://www.movoto.com/home/1488-salem-creek-dr-apt-21-apex-nc-27502-413_2320202
