Year,Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Days,Lot,Unit,HOA,Open,Link
1986,439000,492128,395000,581000,,304 King George Loop,4,3,2704,162,1,0.43,Acres,14,,https://www.movoto.com/home/304-king-george-loop-cary-nc-27511-413_2268146
1986,469900,610408,469000,692000,,205 King George Loop,5,4,3722,126,7,0.34,Acres,14,,https://www.movoto.com/home/205-king-george-loop-cary-nc-27511-413_2337383
1984,228000,289775,228000,333000,,107 Clancy Cir,3,3,1675,136,6,3920,Sqft,361,,https://www.movoto.com/home/107-clancy-cir-cary-nc-27511-413_2241220
1984,387500,348800,296000,414000,2000,110 Prestwick Pl,3,3,2180,178,177,3049,Sqft,340,,https://www.movoto.com/home/110-prestwick-pl-cary-nc-27511-413_2261077
1978,335000,366036,335000,412000,10000,291 High Meadow Dr,3,2,2068,162,25,0.27,Acres,28,,https://www.movoto.com/home/291-high-meadow-dr-cary-nc-27511-413_2333554
1977,273500,,225000,291000,,306 Two Creeks Rd,3,2,1387,197,9,9583,Sqft,28,,https://www.movoto.com/home/306-two-creeks-rd-cary-nc-27511-413_2336796
1974,329900,274384,253000,331000,,622 Sloan Dr,3,2,1559,212,1,0.29,Acres,0,,https://www.movoto.com/home/622-sloan-dr-cary-nc-27511-413_2338504
1973,325000,295314,256000,377000,,1124 Manchester Dr,4,3,1779,183,1,0.35,Acres,0,Open 8/23,https://www.movoto.com/home/1124-manchester-dr-cary-nc-27511-413_2338588
,300000,232965,204000,300000,,1435 Huntly Ct,3,2,1395,,,,,,,https://www.movoto.com/home/1435-huntly-ct-cary-nc-27511-413_2236980
1973,345000,376479,345000,423000,15000,1304 Lake Pine Dr,4,2,2127,162,53,0.33,Acres,0,,https://www.movoto.com/home/1304-lake-pine-dr-cary-nc-27511-413_2328019
,284900,339700,286000,409000,5000,106 Silver Fox Ct,4,2,2150,,,,,,,https://www.movoto.com/home/106-silver-fox-ct-cary-nc-27511-413_2239594
,350000,390156,322000,458000,,1119 Ralph Dr,4,3,2132,,,,,,,https://www.movoto.com/home/1119-ralph-dr-cary-nc-27511-pid_5qsy43b5jh
