Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Days,Lot,Unit,Year,HOA,Open,Link
400000,535425,399000,551000,,105 Fawn Ct,4,4,3025,132,Listed Today,0.44,Acres,1986,0,,https://www.movoto.com/home/105-fawn-ct-cary-nc-27513-413_2336095
299900,229020,215000,300000,,103 Lonesome Pine Dr,3,2,1388,216,Listed Today,8276,Sqft,1992,13,,https://www.movoto.com/home/103-lonesome-pine-dr-cary-nc-27513-413_2336066
349900,394731,332000,442000,,113 Flora Mcdonald Ln,3,3,2157,162,1,0.30,Acres,1978,28,,https://www.movoto.com/home/113-flora-mcdonald-ln-cary-nc-27511-413_2335997
435000,471105,427000,490000,,105 Yorkhill Dr,4,3,2755,158,1,0.26,Acres,1996,0,,https://www.movoto.com/home/105-yorkhill-dr-cary-nc-27513-413_2249407
474900,457545,424000,483000,,307 Cranborne Ln,4,3,2585,184,1,0.30,Acres,1995,55,,https://www.movoto.com/home/307-cranborne-ln-cary-nc-27519-413_2335856
444900,497490,423000,603000,,105 Aspen Hollow Ct,4,3,3090,144,1,0.31,Acres,1997,0,,https://www.movoto.com/home/105-aspen-hollow-ct-cary-nc-27518-413_2320329
370000,408000,326000,533000,,804 Transom View Way,3,3,2400,154,1,5227,Sqft,2013,190,,https://www.movoto.com/home/804-transom-view-way-cary-nc-27519-413_2335805
439000,390784,336000,448000,,557 Angelica Cir,3,3,2272,193,2,4138,Sqft,2017,266,,https://www.movoto.com/home/557-angelica-cir-cary-nc-27518-413_2335695
375000,468120,376000,538000,,125 Joel Ct,4,3,2490,151,2,9148,Sqft,1985,3,,https://www.movoto.com/home/125-joel-ct-cary-nc-27513-413_2335656
330000,275726,228000,331000,,106 Smallwood Ct,3,3,1826,181,5,0.34,Acres,1984,0,,https://www.movoto.com/home/106-smallwood-ct-cary-nc-27513-413_2334934
325000,326186,265000,387000,,111 Leeward Ct,3,3,2026,160,5,6534,Sqft,1987,14,,https://www.movoto.com/home/111-leeward-ct-cary-nc-27511-413_2334902
208000,220419,202000,257000,,112 Charter Ct,3,3,1289,161,12,1307,Sqft,1994,221,,https://www.movoto.com/home/112-charter-ct-cary-nc-27511-413_2333526
400000,441452,380000,503000,,115 Bridgegate Dr,4,3,2794,143,12,4356,Sqft,2002,38,,https://www.movoto.com/home/115-bridgegate-dr-cary-nc-27519-413_2333469
340000,,340000,446000,,111 Canyon Run,3,3,2300,148,16,7841,Sqft,1991,14,,https://www.movoto.com/home/111-canyon-run-cary-nc-27513-413_2332839
424900,362390,339000,426000,10000,5013 Lake Grove Blvd,3,3,2338,182,21,6970,Sqft,2007,70,,https://www.movoto.com/home/5013-lake-grove-blvd-cary-nc-27519-413_2331776
