price,estimated,min,max,reduced,address,city,state,zip,beds,baths,size,psqft,days,lot,unit,year,hoa,open,link
390000,487672,389000,503000,0,2023 Addenbrock Dr,Morrisville,NC,27560,4,3,2,594,150,87841,Sqft,2007,65,,https://www.movoto.com/home/2023-addenbrock-dr-morrisville-nc-27560-413_2332569
379900,377304,344000,416000,0,1520 Alemany St,Morrisville,NC,27560,3,3,2,388,159,143049,Sqft,2012,143,,https://www.movoto.com/home/1520-alemany-st-morrisville-nc-27560-413_2172936
375000,350667,311000,433000,0,1048 Gold Rock Ln,Morrisville,NC,27560,3,3,2,487,151,154356,Sqft,2007,70,,https://www.movoto.com/home/1048-gold-rock-ln-morrisville-nc-27560-413_2180300
244000,247128,237000,257000,0,1613 Grace Point Rd,Morrisville,NC,27560,3,3,1,471,166,152614,Sqft,2010,126,,https://www.movoto.com/home/1613-grace-point-rd-morrisville-nc-27560-413_2331092
285000,323568,285000,369000,0,711 Keystone Park Dr #69,Morrisville,NC,27560,4,4,2,247,127,191699,Sqft,2009,154,,https://www.movoto.com/home/711-keystone-park-dr-apt-69-morrisville-nc-27560-413_2330393
469900,497367,471000,547000,0,108 Legislative Pl,Morrisville,NC,27560,4,3,2,943,160,219583,Sqft,2010,40,,https://www.movoto.com/home/108-legislative-pl-morrisville-nc-27560-413_2330045
389900,428260,388000,468000,0,109 Cotten Square Ln,Morrisville,NC,27560,5,3,2,660,147,215663,Sqft,2015,67,,https://www.movoto.com/home/109-cotten-square-ln-morrisville-nc-27560-413_2253582
400000,443552,401000,494000,0,302 Shakespeare St,Morrisville,NC,27560,5,3,2,656,151,258712,Sqft,2003,40,,https://www.movoto.com/home/302-shakespeare-st-morrisville-nc-27560-413_2329141
325000,281750,249000,326000,0,105 Downing Grove Ct,Morrisville,NC,27560,3,2,1,750,186,259583,Sqft,2001,33,,https://www.movoto.com/home/105-downing-grove-ct-morrisville-nc-27560-413_2329062
347000,335826,296000,388000,0,120 Prestonian Pl,Morrisville,NC,27560,3,3,2,073,167,282614,Sqft,1999,205,,https://www.movoto.com/home/120-prestonian-pl-morrisville-nc-27560-413_2328662
300000,306912,280000,364000,0,5539 Jessip St,Morrisville,NC,27560,3,3,2,208,136,283136,Sqft,2016,143,,https://www.movoto.com/home/5539-jessip-st-morrisville-nc-27560-413_2328568
314900,352053,311000,387000,0,1013 Havenbrook Dr,Morrisville,NC,27560,4,4,2,301,137,341742,Sqft,2012,158,,https://www.movoto.com/home/1013-havenbrook-dr-morrisville-nc-27560-413_2327577
268000,263640,228000,284000,0,309 Durston Loop,Morrisville,NC,27560,3,3,1,690,159,342614,Sqft,2000,100,,https://www.movoto.com/home/309-durston-loop-morrisville-nc-27560-413_2327393
295000,326344,268000,384000,0,214 Station Dr,Morrisville,NC,27560,3,3,2,147,137,355227,Sqft,2011,30,,https://www.movoto.com/home/214-station-dr-morrisville-nc-27560-413_2327170
360000,326001,301000,378000,0,1204 Midvale Ave,Morrisville,NC,27560,3,3,1,929,187,363485,Sqft,2018,108,,https://www.movoto.com/home/1204-midvale-ave-morrisville-nc-27560-413_2326788
429900,473025,425000,524000,10,155 Prestonian Pl,Morrisville,NC,27560,3,3,2,975,145,413485,Sqft,1999,205,,https://www.movoto.com/home/155-prestonian-pl-morrisville-nc-27560-413_2326058
295000,323466,251000,364000,0,411 Stockton Gorge Rd,Morrisville,NC,27560,3,3,1,859,159,422614,Sqft,2010,126,,https://www.movoto.com/home/411-stockton-gorge-rd-morrisville-nc-27560-413_2325790
365000,331143,274000,364000,0,1068 Gold Rock Ln,Morrisville,NC,27560,3,3,2,193,166,497405,Sqft,2007,70,,https://www.movoto.com/home/1068-gold-rock-ln-morrisville-nc-27560-413_2153883
310000,317893,290000,377000,0,214 Hamlet Pl,Morrisville,NC,27560,3,3,2,287,136,493049,Sqft,2015,149,,https://www.movoto.com/home/214-hamlet-pl-morrisville-nc-27560-413_2324409
385000,362234,326000,427000,0,1004 Oatney Ridge Ln,Morrisville,NC,27560,4,4,2,606,148,505227,Sqft,2015,70,,https://www.movoto.com/home/1004-oatney-ridge-ln-morrisville-nc-27560-413_2324102
369900,393057,334000,444000,3,1028 Gold Rock Ln,Morrisville,NC,27560,3,3,2,569,144,684356,Sqft,2007,70,,https://www.movoto.com/home/1028-gold-rock-ln-morrisville-nc-27560-413_2188334
