Size,Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Value,Days,Lot,Unit,Year,HOA,Open,Link
3480,415000,842160,414000,1.18M,17000,1133 Evans Rd,5,3,119,1588,0.97,Acres,1965,0,,https://www.movoto.com/home/1133-evans-rd-cary-nc-27513-413_2060271
3302,469900,594360,469000,641000,,360 Roberts Ridge Dr,5,4,,,,,,,,https://www.movoto.com/home/360-roberts-ridge-dr-cary-nc-27513-413_2110526
3183,485990,557025,487000,630000,,316 Barthel Dr,5,4,,,,,,,,https://www.movoto.com/home/316-barthel-dr-cary-nc-27513-413_2337007
3090,489900,540750,485000,612000,,102 Pennsbury Ct,5,3,159,1,0.31,Acres,1992,7,,https://www.movoto.com/home/102-pennsbury-ct-cary-nc-27513-413_2133819
3079,469500,535746,459000,573000,,106 Trinity Grove Dr,4,3,152,8,9583,Sqft,2005,52,,https://www.movoto.com/home/106-trinity-grove-dr-cary-nc-27513-413_2335817
2872,444500,473880,419000,514000,400,320 Barthel Dr,4,3,,,,,,,,https://www.movoto.com/home/320-barthel-dr-cary-nc-27513-413_2334906
2796,479000,500484,445000,570000,28000,103 Roebling Ln,4,3,171,90,0.31,Acres,1996,33,,https://www.movoto.com/home/103-roebling-ln-cary-nc-27513-413_2319752
2780,489900,461480,414000,539000,,304 N West St,3,3,176,78,6534,Sqft,2020,0,Open 8/16,https://www.movoto.com/home/304-n-west-st-cary-nc-27513-413_2321937
2702,424900,432320,394000,484000,,206 Moravia Ln,4,3,,,,,,,,https://www.movoto.com/home/206-moravia-ln-cary-nc-27513-413_2331439
2643,465000,436095,375000,489000,,626 Chronicle Dr,4,4,,,,,,,,https://www.movoto.com/home/626-chronicle-dr-cary-nc-27513-413_2107344
2561,415000,481468,410000,563000,10000,322 Stromer Dr,4,3,,,,,,,,https://www.movoto.com/home/322-stromer-dr-cary-nc-27513-pid_9fiy43b5jh
2531,450000,460642,402000,516000,,501 Legault Dr,4,3,178,7,0.30,Acres,1996,13,,https://www.movoto.com/home/501-legault-dr-cary-nc-27513-413_2336023
2494,450000,,372000,464000,500,101 Pinehill Way,4,3,180,86,0.34,Acres,1988,21,,https://www.movoto.com/home/101-pinehill-way-cary-nc-27513-413_2320575
2490,375000,463140,376000,538000,,125 Joel Ct,4,3,,,,,,,Open 8/16,https://www.movoto.com/home/125-joel-ct-cary-nc-27513-413_2335656
2474,429900,499748,430000,547000,5000,524 Cedar Ridge Rd,4,3,,,,,,,,https://www.movoto.com/home/524-cedar-ridge-rd-cary-nc-27513-413_2133553
2464,355000,418880,355000,458000,12000,308 Tecumseh Ct,4,3,144,127,0.29,Acres,2000,0,,https://www.movoto.com/home/308-tecumseh-ct-cary-nc-27513-413_2313026
2463,440000,440877,421000,456000,,522 Wood St,4,4,179,2,2178,Sqft,2019,115,,https://www.movoto.com/home/522-wood-st-cary-nc-27513-413_2224000
2449,419000,428575,392000,453000,,1028 Laurel Twist Rd,4,3,171,56,3485,Sqft,2018,150,,https://www.movoto.com/home/1028-laurel-twist-rd-cary-nc-27513-413_2161538
2406,429900,389772,373000,431000,,217 Custer Trl,4,3,179,3,0.27,Acres,1992,13,,https://www.movoto.com/home/217-custer-trl-cary-nc-27513-413_2336581
2199,470000,367233,336000,471000,15000,705 Modena Dr,3,3,214,40,0.70,Acres,1995,0,,https://www.movoto.com/home/705-modena-dr-cary-nc-27513-413_2329174
2122,340000,369228,316000,395000,,304 Wyatts Pond Ln,3,3,160,29,0.29,Acres,1985,0,,https://www.movoto.com/home/304-wyatts-pond-ln-cary-nc-27513-413_2331717
2100,389900,361200,317000,420000,,323 Stromer Dr,4,3,,,,,,,,https://www.movoto.com/home/323-stromer-dr-cary-nc-27513-413_2335797
2054,266000,375882,267000,407000,1000,118 Oak Hill Loop,3,3,,,,,,,,https://www.movoto.com/home/118-oak-hill-loop-cary-nc-27513-413_2311312
2040,340000,371280,320000,441000,,103 Wabash Cir,3,3,167,44,8712,Sqft,1990,40,,https://www.movoto.com/home/103-wabash-cir-cary-nc-27513-413_2328701
1947,360000,334884,312000,360000,5000,1113 Laurel Twist Rd,3,3,185,22,3049,Sqft,2017,150,,https://www.movoto.com/home/1113-laurel-twist-rd-cary-nc-27513-413_2132772
1750,318580,320250,261000,382000,,307 Page Square Dr,3,4,182,46,1742,Sqft,2020,152,,https://www.movoto.com/home/307-page-square-dr-cary-nc-27513-413_2328097
1680,335500,294000,254000,336000,,119 Keystone Dr,3,2,200,2,7841,Sqft,1988,14,,https://www.movoto.com/home/119-keystone-dr-cary-nc-27513-413_2336966
1388,299900,233184,215000,300000,,103 Lonesome Pine Dr,3,2,,,,,,,,https://www.movoto.com/home/103-lonesome-pine-dr-cary-nc-27513-413_2336066
1326,270000,228072,212000,271000,10000,309 Middleton Ave,4,2,204,137,0.33,Acres,1961,0,,https://www.movoto.com/home/309-middleton-ave-cary-nc-27513-413_2228546
