Status,Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Days,Lot,unit,Year,HOA,Open,Link
Coming Soon - 08/06,375000,448200,376000,481000,0,125 Joel Ct,4,3,2490,151,Listed Today,9148,Sqft,1985,3, ,https://www.movoto.com/home/125-joel-ct-cary-nc-27513-413_2335656
FOR SALE,350900,370107,351000,391000,0,107 Carswell Ln,3,3,2091,168,Listed Today,10454,Sqft,1999,0, ,https://www.movoto.com/home/107-carswell-ln-cary-nc-27519-413_2335556
FOR SALE,430000,0,366000,639000,0,920 Bentbury Way,5,3,3002,143,Listed Today,6534,Sqft,2010,65,Open 8/8,https://www.movoto.com/home/920-bentbury-way-cary-nc-27518-413_2215229
FOR SALE,330000,343018,292000,390000,0,1217 Wellington Ln,4,3,2054,161,Listed Today,0.43,Acres,1973,0, ,https://www.movoto.com/home/1217-wellington-ln-cary-nc-27511-413_2335524
FOR SALE,440000,496440,441000,549000,0,231 Daymire Glen Ln,3,4,2520,175,Listed Today,3049,Sqft,2016,135, ,https://www.movoto.com/home/231-daymire-glen-ln-cary-nc-27519-413_2335505
FOR SALE,350000,428355,349000,464000,0,806 Roanoke Dr,5,3,2565,136,Listed Today,0.34,Acres,1976,0, ,https://www.movoto.com/home/806-roanoke-dr-cary-nc-27513-413_2254930
FOR SALE,469900,455172,387000,540000,0,549 Angelica Cir,4,3,2742,171,Listed Today,4792,Sqft,2012,260,Open 8/8,https://www.movoto.com/home/549-angelica-cir-cary-nc-27518-413_2335434
FOR SALE,275000,0,274000,361000,0,543 Berry Chase Way,3,4,1841,149,Listed Today,1307,Sqft,2013,175, ,https://www.movoto.com/home/543-berry-chase-way-cary-nc-27519-413_2335424
FOR SALE,320000,315875,303000,338000,0,308 Caraway Ln,3,3,1805,177,Listed Today,0.26,Acres,1997,27, ,https://www.movoto.com/home/308-caraway-ln-cary-nc-27519-413_2335407
Coming Soon - 08/05,419900,421860,358000,462000,0,212 Custer Trl,4,3,2370,177,1,0.27,Acres,1990,13,Open 8/9,https://www.movoto.com/home/212-custer-trl-cary-nc-27513-413_2335385
FOR SALE,500000,385400,343000,501000,0,319 Fairwinds Dr,4,3,2350,213,1,6534,Sqft,1990,51, ,https://www.movoto.com/home/319-fairwinds-dr-cary-nc-27518-413_2335202
FOR SALE,350000,374900,327000,403000,0,703 Kildaire Farm Rd,5,3,2300,152,1,0.31,Acres,1966,0,Open 8/8,https://www.movoto.com/home/703-kildaire-farm-rd-cary-nc-27511-413_2335173
Coming Soon - 08/04,400000,383860,289000,479000,0,4022 Overcup Oak Ln,3,3,2258,177,2,4051,Sqft,2014,91, ,https://www.movoto.com/home/4022-overcup-oak-ln-cary-nc-27519-413_2335053
Coming Soon - 08/04,415000,406000,333000,465000,0,109 Bridgegate Dr,4,3,2800,148,2,4356,Sqft,2003,38, ,https://www.movoto.com/home/109-bridgegate-dr-cary-nc-27519-413_2295562
FOR SALE,325000,417708,326000,486000,0,475 Panorama Park Pl,4,4,2547,128,2,2178,Sqft,2009,184, ,https://www.movoto.com/home/475-panorama-park-pl-cary-nc-27519-413_2335025
FOR SALE,380665,409188,360000,438000,0,320 Clementine Dr #9,4,4,2236,170,2,1873,Sqft,2020,141, ,https://www.movoto.com/home/320-clementine-dr-apt-9-cary-nc-27519-413_2335018
FOR SALE,404900,395590,316000,482000,0,440 Methven Grove Dr,3,3,2210,183,2,2614,Sqft,2015,125, ,https://www.movoto.com/home/440-methven-grove-dr-cary-nc-27519-413_2148498
Coming Soon - 08/03,330000,275726,228000,331000,0,106 Smallwood Ct,3,3,1826,181,3,0.34,Acres,1984,0, ,https://www.movoto.com/home/106-smallwood-ct-cary-nc-27513-413_2334934
FOR SALE,444900,473880,445000,508000,0,320 Barthel Dr,4,3,2872,155,3,0.25,Acres,1992,13, ,https://www.movoto.com/home/320-barthel-dr-cary-nc-27513-413_2334906
Coming Soon - 08/03,325000,326186,265000,387000,0,111 Leeward Ct,3,3,2026,160,3,6534,Sqft,1987,14, ,https://www.movoto.com/home/111-leeward-ct-cary-nc-27511-413_2334902
FOR SALE,499900,554852,500000,585000,0,104 S Fern Abbey Ln,4,3,3404,147,5,0.25,Acres,1993,51,Open 8/8,https://www.movoto.com/home/104-s-fern-abbey-ln-cary-nc-27518-413_2334634
FOR SALE,424900,426916,359000,478000,0,206 Moravia Ln,4,3,2702,157,5,0.26,Acres,1999,15, ,https://www.movoto.com/home/206-moravia-ln-cary-nc-27513-413_2331439
FOR SALE,403900,477447,394000,556000,0,201 E Wind Ln,3,3,2609,155,5,4792,Sqft,1985,301, ,https://www.movoto.com/home/201-e-wind-ln-cary-nc-27518-413_2305406
FOR SALE,350000,326448,297000,390000,5000,609 Balsam Fir Dr,4,4,2267,154,7,1742,Sqft,2016,241, ,https://www.movoto.com/home/609-balsam-fir-dr-cary-nc-27519-413_2313673
FOR SALE,375000,0,294000,375000,0,126 Talon Dr,3,3,2003,187,7,0.25,Acres,1994,13, ,https://www.movoto.com/home/126-talon-dr-cary-nc-27518-413_2318750
FOR SALE,450000,471528,389000,519000,0,403 Canon Gate Dr,4,3,2664,169,7,0.25,Acres,1999,48, ,https://www.movoto.com/home/403-canon-gate-dr-cary-nc-27518-413_2333949
Coming Soon - 07/29,349900,334000,304000,362000,0,122 Flora Mcdonald Ln,3,3,2000,175,8,0.33,Acres,1979,28, ,https://www.movoto.com/home/122-flora-mcdonald-ln-cary-nc-27511-413_2333750
FOR SALE,345000,339152,314000,362000,0,291 High Meadow Dr,3,2,2068,167,9,0.27,Acres,1978,28, ,https://www.movoto.com/home/291-high-meadow-dr-cary-nc-27511-413_2333554
