Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Days,Lot,Unit,Year,HOA,Open,Link
365000,,364000,434000,10000,116 Silverridge Ct,4,4,2413,151,29,0.30,Acres,1992,14,,https://www.movoto.com/home/116-silverridge-ct-cary-nc-27513-413_2330398
470000,389223,365000,471000,15000,705 Modena Dr,3,3,2199,214,34,0.70,Acres,1995,0,,https://www.movoto.com/home/705-modena-dr-cary-nc-27513-413_2329174
450000,426400,354000,484000,1000,314 Rose Valley Woods Dr,4,3,2600,173,52,0.40,Acres,1994,14,,https://www.movoto.com/home/314-rose-valley-woods-dr-cary-nc-27513-pid_4jjy43b5jh
450000,,359000,484000,500,101 Pinehill Way,4,3,2494,180,80,0.34,Acres,1988,21,,https://www.movoto.com/home/101-pinehill-way-cary-nc-27513-413_2320575
479000,483708,442000,503000,28000,103 Roebling Ln,4,3,2796,171,84,0.31,Acres,1996,33,,https://www.movoto.com/home/103-roebling-ln-cary-nc-27513-413_2319752
415000,432809,387000,476000,10000,322 Stromer Dr,4,3,2561,162,89,0.27,Acres,1997,0,,https://www.movoto.com/home/322-stromer-dr-cary-nc-27513-pid_9fiy43b5jh
244200,260306,230000,308000,800,113 Grande Meadow Way,3,3,1658,147,95,2178,Sqft,1996,175,,https://www.movoto.com/home/113-grande-meadow-way-cary-nc-27513-413_2317558
355000,399168,355000,414000,12000,308 Tecumseh Ct,4,3,2464,144,121,0.29,Acres,2000,0,,https://www.movoto.com/home/308-tecumseh-ct-cary-nc-27513-413_2313026
266000,367666,267000,384000,1000,118 Oak Hill Loop,3,3,2054,130,130,3920,Sqft,1986,23,,https://www.movoto.com/home/118-oak-hill-loop-cary-nc-27513-413_2311312
270000,208182,180000,271000,10000,309 Middleton Ave,4,2,1326,204,130,0.33,Acres,1961,0,,https://www.movoto.com/home/309-middleton-ave-cary-nc-27513-413_2228546
429900,408210,381000,438000,5000,524 Cedar Ridge Rd,4,3,2474,174,157,5227,Sqft,2017,127,,https://www.movoto.com/home/524-cedar-ridge-rd-cary-nc-27513-413_2133553
415000,584640,414000,689000,17000,1133 Evans Rd,5,3,3480,119,1582,0.97,Acres,1965,0,,https://www.movoto.com/home/1133-evans-rd-cary-nc-27513-413_2060271
