price,estimated,min,max,reduced,address,city,state,zip,beds,baths,size,psqft,days,lot,unit,year,hoa,open,link
268000,265205,231000,298000,0,1012 Delight Dr,Morrisville,NC,27560,3,3,1,711,157,71960,Sqft,2018,140,,https://www.movoto.com/home/1012-delight-dr-morrisville-nc-27560-413_2332873
429900,539550,432000,590000,0,1413 Hemby Ridge Ln,Morrisville,NC,27560,4,3,3,597,120,86534,Sqft,2008,70,,https://www.movoto.com/home/1413-hemby-ridge-ln-morrisville-nc-27560-413_2199548
325000,0,286000,326000,0,1012 Excite Ave,Morrisville,NC,27560,3,3,2,000,163,142962,Sqft,2019,140,,https://www.movoto.com/home/1012-excite-ave-morrisville-nc-27560-413_2331243
240000,244272,234000,254000,0,208 Tylerway Ln,Morrisville,NC,27560,3,3,1,454,165,201742,Sqft,2003,132,,https://www.movoto.com/home/208-tylerway-ln-morrisville-nc-27560-413_2330300
300000,322452,298000,374000,0,1100 Checkerberry Dr,Morrisville,NC,27560,3,3,1,908,157,213485,Sqft,2008,145,,https://www.movoto.com/home/1100-checkerberry-dr-morrisville-nc-27560-413_2330016
216000,267712,217000,295000,0,402 Misty Groves Cir,Morrisville,NC,27560,3,3,1,504,144,231307,Sqft,1999,175,,https://www.movoto.com/home/402-misty-groves-cir-morrisville-nc-27560-413_2329360
469900,588965,470000,641000,10,112 Carter Grove Ct,Morrisville,NC,27560,5,3,3,485,135,276970,Sqft,2012,40,,https://www.movoto.com/home/112-carter-grove-ct-morrisville-nc-27560-413_2328974
294000,307157,280000,333000,0,252 Durants Neck Ln,Morrisville,NC,27560,3,3,1,697,173,272614,Sqft,2015,130,,https://www.movoto.com/home/252-durants-neck-ln-morrisville-nc-27560-413_2328960
244000,249275,227000,289000,0,1812 Grace Point Rd,Morrisville,NC,27560,3,3,1,475,165,302614,Sqft,2009,126,,https://www.movoto.com/home/1812-grace-point-rd-morrisville-nc-27560-413_2328136
263000,257765,225000,279000,0,502 Caraleigh Ct,Morrisville,NC,27560,3,3,1,663,158,342962,Sqft,2002,110,,https://www.movoto.com/home/502-caraleigh-ct-morrisville-nc-27560-413_2327572
325000,339520,325000,350000,0,1046 Myers Point Dr,Morrisville,NC,27560,4,4,2,122,153,351830,Sqft,2020,130,,https://www.movoto.com/home/1046-myers-point-dr-morrisville-nc-27560-413_2327137
444990,549270,445000,589000,0,421 Willingham Rd,Morrisville,NC,27560,5,4,3,590,124,365663,Sqft,2004,40,,https://www.movoto.com/home/421-willingham-rd-morrisville-nc-27560-413_2327006
325000,345420,315000,396000,0,356 Durants Neck Ln,Morrisville,NC,27560,3,3,2,020,161,382614,Sqft,2016,130,,https://www.movoto.com/home/356-durants-neck-ln-morrisville-nc-27560-413_2326490
310000,264099,236000,311000,5,116 Rama Ct,Morrisville,NC,27560,3,2,1,661,187,3910454,Sqft,2001,75,,https://www.movoto.com/home/116-rama-ct-morrisville-nc-27560-413_2326356
270000,250155,232000,270000,0,1215 Neighborly Way,Morrisville,NC,27560,3,3,1,635,165,401830,Sqft,2018,140,,https://www.movoto.com/home/1215-neighborly-way-morrisville-nc-27560-413_2160592
384900,0,285000,385000,0,1204 Circandian Ct,Morrisville,NC,27560,3,3,2,278,169,447841,Sqft,2013,166,,https://www.movoto.com/home/1204-circandian-ct-morrisville-nc-27560-413_2325332
300000,313500,299000,323000,0,439 Excalibur Dr,Morrisville,NC,27560,3,4,2,375,126,453920,Sqft,2015,165,,https://www.movoto.com/home/439-excalibur-dr-morrisville-nc-27560-413_2325185
230000,247618,203000,275000,0,302 Walnut Woods Dr,Morrisville,NC,27560,3,3,1,538,150,461307,Sqft,2004,70,,https://www.movoto.com/home/302-walnut-woods-dr-morrisville-nc-27560-413_2325004
295000,0,261000,331000,0,5352 Jessip St,Morrisville,NC,27560,3,3,2,005,147,472570,Sqft,2015,146,,https://www.movoto.com/home/5352-jessip-st-morrisville-nc-27560-413_2324908
303000,292539,270000,339000,0,402 Meeting Hall Dr,Morrisville,NC,27560,3,3,1,731,175,483485,Sqft,2003,70,,https://www.movoto.com/home/402-meeting-hall-dr-morrisville-nc-27560-413_2324688
485000,594880,486000,655000,0,1121 Hope Springs Ln,Morrisville,NC,27560,5,3,3,520,138,499583,Sqft,2013,49,,https://www.movoto.com/home/1121-hope-springs-ln-morrisville-nc-27560-413_2324514
279000,297093,279000,317000,0,128 Kathleen Ct,Morrisville,NC,27560,3,3,1,779,157,492614,Sqft,2012,129,,https://www.movoto.com/home/128-kathleen-ct-morrisville-nc-27560-413_2093908
379900,640915,379000,969000,10,900 Kirkeenan Cir,Morrisville,NC,27560,4,4,2,981,127,713485,Sqft,2002,80,,https://www.movoto.com/home/900-kirkeenan-cir-morrisville-nc-27560-413_2320281
