Size,Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Value,Days,Lot,unit,Year,HOA,Open,Link
3404,499900,554852,500000,585000,0,104 S Fern Abbey Ln,4,3,147,6,0.25,Acres,1993,51,Open 8/8,https://www.movoto.com/home/104-s-fern-abbey-ln-cary-nc-27518-413_2334634
3302,469900,600964,469000,641000,0,360 Roberts Ridge Dr,5,4,142,22,3485,Sqft,2017,140,,https://www.movoto.com/home/360-roberts-ridge-dr-cary-nc-27513-413_2110526
3241,500000,538006,457000,638000,30000,926 Regency Cottage Pl #LOT 117,4,4,154,239,4356,Sqft,2020,265,,https://www.movoto.com/home/926-regency-cottage-pl-lot-117-cary-nc-27518-413_2292478
3158,499900,521070,474000,572000,0,408 Burnbank Dr,3,3,158,40,0.34,Acres,1998,95,,https://www.movoto.com/home/408-burnbank-dr-cary-nc-27519-413_2327733
3119,425000,502159,405000,577000,0,1131 Brookhill Way,3,3,136,14,5227,Sqft,2006,88,,https://www.movoto.com/home/1131-brookhill-way-cary-nc-27519-413_2332924
3083,468000,527193,444000,657000,7000,106 Scots Fir Ln,4,3,152,32,9148,Sqft,1999,50,,https://www.movoto.com/home/106-scots-fir-ln-cary-nc-27518-pid_ceqy43b5jh
3079,469500,492640,403000,573000,0,106 Trinity Grove Dr,4,3,152,Listed Today,9583,Sqft,2005,52,,https://www.movoto.com/home/106-trinity-grove-dr-cary-nc-27513-413_2335817
3029,498000,542191,494000,566000,20000,108 Bergeron Way,5,4,164,20,0.30,Acres,1996,55,,https://www.movoto.com/home/108-bergeron-way-cary-nc-27519-413_2331863
3002,430000,0,411000,558000,0,920 Bentbury Way,5,3,143,1,6534,Sqft,2010,65,Open 8/8,https://www.movoto.com/home/920-bentbury-way-cary-nc-27518-413_2215229
2942,475000,520734,444000,600000,15000,313 Millsfield Dr,4,3,161,27,6534,Sqft,2006,56,,https://www.movoto.com/home/313-millsfield-dr-cary-nc-27519-413_2330453
