Year,Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Days,Lot,unit,HOA,Open,Link
2021,495000,418600,356000,494000,50000,109 Putney Dr,4,3,2600,190,206,8015,Sqft,40,Open 8/9,https://www.movoto.com/home/109-putney-dr-cary-nc-27518-413_2296285
2020,495975,449550,406000,496000,0,2905 Hampton Hedge Lane #70 - HARLEY A-2,3,3,2430,204,Listed Today,6098,Sqft,89,,https://www.movoto.com/home/2905-hampton-hedge-lane-apt-70-harley-a-2-cary-nc-27519-413_2335766
2020,380665,409188,360000,438000,0,320 Clementine Dr #9,4,4,2236,170,3,1873,Sqft,141,,https://www.movoto.com/home/320-clementine-dr-apt-9-cary-nc-27519-413_2335018
2020,383280,408775,384000,436000,0,1645 Clayfire Dr,4,4,2075,185,10,4356,Sqft,154,,https://www.movoto.com/home/1645-clayfire-dr-cary-nc-27519-413_2333462
2020,374400,356570,294000,382000,2000,413 King Closer Dr,4,4,1970,190,11,436,Sqft,154,,https://www.movoto.com/home/413-king-closer-dr-cary-nc-27519-413_2333441
2020,367200,362688,349000,378000,2000,411 King Closer Dr,4,4,1889,194,11,4356,Sqft,154,,https://www.movoto.com/home/411-king-closer-dr-cary-nc-27519-413_2333422
2020,475000,521520,475000,579000,0,613 Churton Pl,3,3,2120,224,14,6273,Sqft,180,,https://www.movoto.com/home/613-churton-pl-cary-nc-27518-413_2332808
2020,459900,403104,387000,460000,17000,813 Churton Pl,3,2,1824,252,18,5009,Sqft,180,,https://www.movoto.com/home/813-churton-pl-cary-nc-27518-413_2331958
2020,318580,308000,298000,327000,0,307 Page Square Dr,3,4,1750,182,37,1742,Sqft,152,,https://www.movoto.com/home/307-page-square-dr-cary-nc-27513-413_2328097
2020,414990,400244,360000,438000,4000,110 Mazarin Ln #72,4,4,2236,186,38,1873,Sqft,141,,https://www.movoto.com/home/110-mazarin-ln-apt-72-cary-nc-27519-413_2327963
2020,489990,419391,399000,490000,1000,149 Mazarin Ln #86,3,4,2219,221,43,4356,Sqft,133,,https://www.movoto.com/home/149-mazarin-ln-apt-86-cary-nc-27519-413_2326924
2020,355988,366466,355000,378000,13000,4206 Mahal Ave,4,4,1889,188,44,1742,Sqft,154,,https://www.movoto.com/home/4206-mahal-ave-cary-nc-27519-413_2326834
2020,433120,427076,414000,447000,800,4211 Mahal Ave,3,3,2236,194,44,4356,Sqft,154,,https://www.movoto.com/home/4211-mahal-ave-cary-nc-27519-413_2326820
