Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Days,Lot,unit,Year,HOA,Open,Link
349900,355905,324000,371000,0,113 Flora Mcdonald Ln,3,3,2157,162,Listed Today,0.30,Acres,1978,28,,https://www.movoto.com/home/113-flora-mcdonald-ln-cary-nc-27511-413_2335997
435000,454575,405000,482000,0,105 Yorkhill Dr,4,3,2755,158,Listed Today,0.26,Acres,1996,0,,https://www.movoto.com/home/105-yorkhill-dr-cary-nc-27513-413_2249407
474900,452375,424000,483000,0,307 Cranborne Ln,4,3,2585,184,Listed Today,0.30,Acres,1995,55,,https://www.movoto.com/home/307-cranborne-ln-cary-nc-27519-413_2335856
444900,472770,436000,525000,0,105 Aspen Hollow Ct,4,3,3090,144,Listed Today,0.31,Acres,1997,0,,https://www.movoto.com/home/105-aspen-hollow-ct-cary-nc-27518-413_2320329
370000,362400,326000,425000,0,804 Transom View Way,3,3,2400,154,Listed Today,5227,Sqft,2013,190,,https://www.movoto.com/home/804-transom-view-way-cary-nc-27519-413_2335805
439000,390784,336000,448000,0,557 Angelica Cir,3,3,2272,193,Listed Today,4138,Sqft,2017,266,,https://www.movoto.com/home/557-angelica-cir-cary-nc-27518-413_2335695
375000,455670,376000,483000,0,125 Joel Ct,4,3,2490,151,1,9148,Sqft,1985,3,,https://www.movoto.com/home/125-joel-ct-cary-nc-27513-413_2335656
419900,391363,372000,432000,0,212 Custer Trl,4,3,2401,175,2,0.27,Acres,1990,13,Open 8/9,https://www.movoto.com/home/212-custer-trl-cary-nc-27513-413_2335385
330000,284856,248000,340000,0,106 Smallwood Ct,3,3,1826,181,4,0.34,Acres,1984,0,,https://www.movoto.com/home/106-smallwood-ct-cary-nc-27513-413_2334934
325000,324160,306000,344000,0,111 Leeward Ct,3,3,2026,160,4,6534,Sqft,1987,14,,https://www.movoto.com/home/111-leeward-ct-cary-nc-27511-413_2334902
208000,220419,202000,257000,0,112 Charter Ct,3,3,1289,161,10,1307,Sqft,1994,221,,https://www.movoto.com/home/112-charter-ct-cary-nc-27511-413_2333526
400000,430276,380000,495000,0,115 Bridgegate Dr,4,3,2794,143,11,4356,Sqft,2002,38,,https://www.movoto.com/home/115-bridgegate-dr-cary-nc-27519-413_2333469
340000,0,340000,446000,0,111 Canyon Run,3,3,2300,148,15,7841,Sqft,1991,14,,https://www.movoto.com/home/111-canyon-run-cary-nc-27513-413_2332839
414900,462924,414000,517000,0,5013 Lake Grove Blvd,3,3,2338,177,20,6970,Sqft,2007,70,,https://www.movoto.com/home/5013-lake-grove-blvd-cary-nc-27519-413_2331776
449900,383532,361000,450000,0,204 Sunstone Dr,3,3,2062,218,21,2178,Sqft,2009,242,,https://www.movoto.com/home/204-sunstone-dr-cary-nc-27519-413_2170590
