status,price,estimated,min,max,reduced,address,city,state,zip,beds,baths,size,value,days,lot,unit,year,hoa,open,link
FOR SALE,444900,488240,445000,563000,0,320 Barthel Dr,Cary,NC,27519,4,3,2872,155,Listed Today,0.25,Acres,1992,13, ,https://www.movoto.com/home/320-barthel-dr-cary-nc-27513-413_2334906
Coming Soon - 08/03,325000,303072,272000,335000,0,111 Leeward Ct,Cary,NC,27519,3,3,1968,165,Listed Today,6534,Sqft,1987,14, ,https://www.movoto.com/home/111-leeward-ct-cary-nc-27511-413_2334902
FOR SALE,269900,318636,269000,366000,0,5017 Lalex Ln,Cary,NC,27519,3,4,1908,141,Listed Today,1307,Sqft,2014,60, ,https://www.movoto.com/home/5017-lalex-ln-cary-nc-27519-413_2334873
Coming Soon - 08/01,499900,554852,500000,585000,0,104 S Fern Abbey Ln,Cary,NC,27519,4,3,3404,147,2,0.25,Acres,1993,51,JSHandle@node,https://www.movoto.com/home/104-s-fern-abbey-ln-cary-nc-27518-413_2334634
FOR SALE,326000,317152,292000,353000,0,209 Trent Woods Way,Cary,NC,27519,3,3,1696,192,2,5097,Sqft,1996,47, ,https://www.movoto.com/home/209-trent-woods-way-cary-nc-27519-413_2334604
FOR SALE,424900,467446,419000,530000,0,206 Moravia Ln,Cary,NC,27519,4,3,2702,157,2,0.26,Acres,1999,15, ,https://www.movoto.com/home/206-moravia-ln-cary-nc-27513-413_2331439
FOR SALE,403900,438312,394000,514000,0,201 E Wind Ln,Cary,NC,27519,3,3,2609,155,2,4792,Sqft,1985,301, ,https://www.movoto.com/home/201-e-wind-ln-cary-nc-27518-413_2305406
FOR SALE,299900,349380,299000,402000,0,1203 Pond St,Cary,NC,27519,4,3,1941,155,3,0.48,Acres,1964,0, ,https://www.movoto.com/home/1203-pond-st-cary-nc-27511-413_2334229
FOR SALE,389900,377671,329000,419000,0,103 Dannor Ct,Cary,NC,27519,4,3,2317,168,3,0.34,Acres,1984,0, ,https://www.movoto.com/home/103-dannor-ct-cary-nc-27511-413_2334203
FOR SALE,355000,330982,320000,356000,0,609 Balsam Fir Dr,Cary,NC,27519,4,4,2267,157,4,1742,Sqft,2016,241, ,https://www.movoto.com/home/609-balsam-fir-dr-cary-nc-27519-413_2313673
FOR SALE,375000,0,304000,375000,0,126 Talon Dr,Cary,NC,27519,3,3,2003,187,4,0.25,Acres,1994,13, ,https://www.movoto.com/home/126-talon-dr-cary-nc-27518-413_2318750
FOR SALE,450000,471528,389000,519000,0,403 Canon Gate Dr,Cary,NC,27519,4,3,2664,169,4,0.25,Acres,1999,48, ,https://www.movoto.com/home/403-canon-gate-dr-cary-nc-27518-413_2333949
FOR SALE,296500,275880,257000,306000,0,104 Miramar Ct,Cary,NC,27519,3,2,1672,177,4,0.28,Acres,1989,15, ,https://www.movoto.com/home/104-miramar-ct-cary-nc-27513-413_2333941
Coming Soon - 07/29,329900,0,302000,396000,0,902 Pamlico Dr,Cary,NC,27519,4,3,1959,168,5,0.59,Acres,1964,0, ,https://www.movoto.com/home/902-pamlico-dr-cary-nc-27511-413_2333896
FOR SALE,469900,0,430000,492000,0,125 Hidden Rock Ct,Cary,NC,27519,4,3,2828,166,5,0.49,Acres,1995,0, ,https://www.movoto.com/home/125-hidden-rock-ct-cary-nc-27513-413_2333894
Coming Soon - 07/29,349900,326000,308000,350000,0,122 Flora Mcdonald Ln,Cary,NC,27519,3,3,2000,175,5,0.33,Acres,1979,28, ,https://www.movoto.com/home/122-flora-mcdonald-ln-cary-nc-27511-413_2333750
FOR SALE,320000,334320,301000,366000,0,102 New Holland Pl,Cary,NC,27519,3,3,1680,190,6,5227,Sqft,1995,47, ,https://www.movoto.com/home/102-new-holland-pl-cary-nc-27519-413_2333717
FOR SALE,345000,349492,318000,366000,0,291 High Meadow Dr,Cary,NC,27519,3,2,2068,167,6,0.27,Acres,1978,28, ,https://www.movoto.com/home/291-high-meadow-dr-cary-nc-27511-413_2333554
Coming Soon - 07/28,208000,199795,166000,219000,0,112 Charter Ct,Cary,NC,27519,3,3,1289,161,6,1307,Sqft,1994,221, ,https://www.movoto.com/home/112-charter-ct-cary-nc-27511-413_2333526
Coming Soon - 07/27,400000,480568,380000,592000,0,115 Bridgegate Dr,Cary,NC,27519,4,3,2794,143,7,4356,Sqft,2002,38, ,https://www.movoto.com/home/115-bridgegate-dr-cary-nc-27519-413_2333469
FOR SALE,383280,367275,355000,384000,0,1645 Clayfire Dr,Cary,NC,27519,4,3,2075,185,7,4356,Sqft,2020,154, ,https://www.movoto.com/home/1645-clayfire-dr-cary-nc-27519-413_2333462
FOR SALE,374400,352630,278000,382000,2,413 King Closer Dr,Cary,NC,27519,4,3,1970,190,7,436,Sqft,2020,154, ,https://www.movoto.com/home/413-king-closer-dr-cary-nc-27519-413_2333441
FOR SALE,367200,362688,349000,378000,2,411 King Closer Dr,Cary,NC,27519,4,3,1889,194,7,4356,Sqft,2020,154, ,https://www.movoto.com/home/411-king-closer-dr-cary-nc-27519-413_2333422
FOR SALE,329900,281820,253000,330000,0,103 Oakmist Dr,Cary,NC,27519,3,3,1708,193,9,8276,Sqft,1992,10, ,https://www.movoto.com/home/103-oakmist-dr-cary-nc-27513-413_2333166
FOR SALE,365000,332937,327000,364000,0,1113 Laurel Twist Rd,Cary,NC,27519,3,3,1947,187,10,3049,Sqft,2017,150, ,https://www.movoto.com/home/1113-laurel-twist-rd-cary-nc-27513-413_2132772
Coming Soon - 07/24,389900,364350,341000,389000,0,118 Bromfield Way,Cary,NC,27519,4,3,2082,187,10,0.30,Acres,1993,55, ,https://www.movoto.com/home/118-bromfield-way-cary-nc-27519-413_2333027
Coming Soon - 07/21,305000,356832,306000,382000,0,812 N Harrison Ave,Cary,NC,27519,4,3,2124,144,10,0.30,Acres,1975,0, ,https://www.movoto.com/home/812-n-harrison-ave-cary-nc-27513-413_2332967
FOR SALE,425000,542706,424000,661000,0,1131 Brookhill Way,Cary,NC,27519,3,3,3119,136,10,5227,Sqft,2006,88, ,https://www.movoto.com/home/1131-brookhill-way-cary-nc-27519-413_2332924
Coming Soon - 07/23,340000,0,340000,446000,0,111 Canyon Run,Cary,NC,27519,3,3,2300,148,11,7841,Sqft,1991,14, ,https://www.movoto.com/home/111-canyon-run-cary-nc-27513-413_2332839
FOR SALE,475000,510920,475000,536000,0,613 Churton Pl,Cary,NC,27519,3,3,2120,224,11,6273,Sqft,2020,180, ,https://www.movoto.com/home/613-churton-pl-cary-nc-27518-413_2332808
FOR SALE,465000,428166,378000,494000,0,626 Chronicle Dr,Cary,NC,27519,4,4,2643,176,11,3485,Sqft,2017,178, ,https://www.movoto.com/home/626-chronicle-dr-cary-nc-27513-413_2107344
FOR SALE,339500,0,241000,340000,0,410 Fly Bridge Dr,Cary,NC,27519,3,3,1827,186,12,3049,Sqft,2012,241, ,https://www.movoto.com/home/410-fly-bridge-dr-cary-nc-27519-413_2332364
