price,estimated,min,max,reduced,address,city,state,zip,beds,baths,size,psqft,days,lot,unit,year,hoa,open,link
400000,0,376000,470000,25,605 Kingswood Dr,Cary,NC,27519,4,3,2611,153,8,0.27,Acres,1992,0,,https://www.movoto.com/home/605-kingswood-dr-cary-nc-27513-pid_w8wy43b5jh
459900,403104,387000,460000,17,813 Churton Pl,Cary,NC,27519,3,2,1824,252,12,5009,Sqft,2020,180,,https://www.movoto.com/home/813-churton-pl-cary-nc-27518-413_2331958
498000,527046,494000,566000,20,108 Bergeron Way,Cary,NC,27519,5,4,3029,164,13,0.30,Acres,1996,55,,https://www.movoto.com/home/108-bergeron-way-cary-nc-27519-413_2331863
280000,524040,281000,698000,20,454 Pebble Creek Dr,Cary,NC,27519,3,4,2382,118,14,1742,Sqft,1975,158,,https://www.movoto.com/home/454-pebble-creek-dr-cary-nc-27511-413_2331511
499900,530536,409000,652000,10,1623 Vineyard Mist Dr,Cary,NC,27519,3,3,2822,177,17,6970,Sqft,2017,240,,https://www.movoto.com/home/1623-vineyard-mist-dr-cary-nc-27519-413_2148417
495000,0,249000,494000,55,7000 Carpenter Fire Station Rd,Cary,NC,27519,3,2,1535,322,20,1.98,Acres,1972,0,,https://www.movoto.com/home/7000-carpenter-fire-station-rd-cary-nc-27519-413_2234422
489000,477572,456000,528000,10,213 Oakmere Dr,Cary,NC,27519,3,4,2668,183,21,0.26,Acres,2018,78,,https://www.movoto.com/home/213-oakmere-dr-cary-nc-27513-413_2330095
385000,0,278000,384000,10,109 Quarter Path,Cary,NC,27519,3,3,1829,210,23,8276,Sqft,1992,122,,https://www.movoto.com/home/109-quarter-path-cary-nc-27518-413_2134307
468000,564189,469000,647000,7,106 Scots Fir Ln,Cary,NC,27519,4,3,3083,152,25,9148,Sqft,1999,50,,https://www.movoto.com/home/106-scots-fir-ln-cary-nc-27518-pid_ceqy43b5jh
470000,413412,365000,471000,15,705 Modena Dr,Cary,NC,27519,3,3,2199,214,25,0.70,Acres,1995,0,,https://www.movoto.com/home/705-modena-dr-cary-nc-27513-413_2329174
491540,445665,424000,492000,7,117 Parkcrest Dr,Cary,NC,27519,5,3,2701,182,27,10454,Sqft,1992,53,,https://www.movoto.com/home/117-parkcrest-dr-cary-nc-27519-413_2329047
325000,312800,265000,359000,4,204 Skyros Loop,Cary,NC,27519,3,3,1700,191,27,2178,Sqft,2013,91,,https://www.movoto.com/home/204-skyros-loop-cary-nc-27519-413_2329008
287500,264535,205000,302000,2,106 Tayport Ct,Cary,NC,27519,3,2,1385,208,28,0.78,Acres,1978,0,,https://www.movoto.com/home/106-tayport-ct-cary-nc-27511-413_2328936
