Days,Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Lot,unit,Year,HOA,Open,Link
1,378000,393120,374000,435000,0,1040 Pemberly Ave,4,4,2340,162,8276,Sqft,2014,0,,https://www.movoto.com/home/1040-pemberly-ave-morrisville-nc-27560-413_2301596
1,235000,260172,234000,283000,0,705 Keystone Park Dr #35,3,3,1606,146,1873,Sqft,2008,154,,https://www.movoto.com/home/705-keystone-park-dr-apt-35-morrisville-nc-27560-413_2335554
2,300000,0,258000,330000,0,1057 Semora Ln,3,3,1764,170,4008,Sqft,2014,220,Open 8/8,https://www.movoto.com/home/1057-semora-ln-morrisville-nc-27560-413_2335373
3,349900,332332,278000,390000,0,102 State House Dr,3,3,2002,175,0.28,Acres,2004,40,,https://www.movoto.com/home/102-state-house-dr-morrisville-nc-27560-413_2335142
3,369900,334014,300000,373000,0,1320 Hopedale Dr #19,3,3,1866,198,2526,Sqft,2020,90,,https://www.movoto.com/home/1320-hopedale-dr-apt-19-morrisville-nc-27560-413_2335061
3,357900,369660,359000,381000,0,1328 Hopedale Dr #17,3,3,1830,196,2526,Sqft,2020,90,,https://www.movoto.com/home/1328-hopedale-dr-apt-17-morrisville-nc-27560-413_2335055
3,353900,314324,283000,355000,0,1324 Hopedale Dr #18,3,3,1756,202,2526,Sqft,2020,90,,https://www.movoto.com/home/1324-hopedale-dr-apt-18-morrisville-nc-27560-413_2335035
3,349900,354363,346000,367000,0,1332 Hopedale Dr #16,3,3,1763,198,2526,Sqft,2020,90,,https://www.movoto.com/home/1332-hopedale-dr-apt-16-morrisville-nc-27560-413_2335031
3,349900,314324,283000,351000,0,1336 Hopedale Dr #15,3,3,1756,199,2526,Sqft,2020,90,,https://www.movoto.com/home/1336-hopedale-dr-apt-15-morrisville-nc-27560-413_2334978
3,367900,352230,347000,368000,0,1400 Hopedale Dr #14,3,3,1770,208,2526,Sqft,2020,90,,https://www.movoto.com/home/1400-hopedale-dr-apt-14-morrisville-nc-27560-413_2334973
4,389000,383308,340000,427000,0,100 Prestonian Pl,3,3,2426,160,3485,Sqft,1999,200,,https://www.movoto.com/home/100-prestonian-pl-morrisville-nc-27560-413_2286167
4,309000,318257,287000,333000,0,809 Meeting Hall Dr,3,3,1649,187,4792,Sqft,2002,110,,https://www.movoto.com/home/809-meeting-hall-dr-morrisville-nc-27560-413_2334814
4,238000,223860,220000,238000,0,209 Canyon Lake Cir,3,3,1365,174,1742,Sqft,2001,101,,https://www.movoto.com/home/209-canyon-lake-cir-morrisville-nc-27560-413_2334776
6,295500,271836,242000,295000,0,216 Durants Neck Ln,3,4,1678,176,2178,Sqft,2014,130,Open 8/8,https://www.movoto.com/home/216-durants-neck-ln-morrisville-nc-27560-413_2334618
8,315000,307530,306000,315000,0,700 Meeting Hall Dr,3,3,1809,174,4792,Sqft,2002,110,,https://www.movoto.com/home/700-meeting-hall-dr-morrisville-nc-27560-pid_s64x43b5jh
12,312000,330132,286000,382000,0,112 Plank Bridge Way,4,3,2013,155,3049,Sqft,2006,185,,https://www.movoto.com/home/112-plank-bridge-way-morrisville-nc-27560-413_2333345
15,454900,475012,399000,536000,0,1132 Survada Ln,5,4,3188,143,0.29,Acres,2013,70,,https://www.movoto.com/home/1132-survada-ln-morrisville-nc-27560-413_2172963
15,399900,445836,393000,494000,0,301 Kirkeenan Cir,4,4,2804,143,3485,Sqft,2007,97,,https://www.movoto.com/home/301-kirkeenan-cir-morrisville-nc-27560-413_2332780
17,450000,0,413000,499000,0,6325 Kit Creek Rd,4,3,3060,147,6098,Sqft,2005,70,,https://www.movoto.com/home/6325-kit-creek-rd-morrisville-nc-27560-413_2332227
17,329900,365160,330000,408000,5000,1016 Coreopsis Way,4,4,2040,162,1742,Sqft,2010,145,,https://www.movoto.com/home/1016-coreopsis-way-morrisville-nc-27560-413_2332164
18,410000,418001,393000,443000,0,404 Star Magnolia Dr,4,4,2503,164,6098,Sqft,2006,57,,https://www.movoto.com/home/404-star-magnolia-dr-morrisville-nc-27560-413_2267542
21,365000,397738,358000,444000,20000,1405 Hopedale Dr #48,3,4,2222,164,2265,Sqft,2020,90,,https://www.movoto.com/home/1405-hopedale-dr-apt-48-morrisville-nc-27560-413_2331498
22,449900,446004,397000,503000,15000,400 Star Magnolia Dr,4,3,2859,157,6098,Sqft,2006,57,,https://www.movoto.com/home/400-star-magnolia-dr-morrisville-nc-27560-413_2328907
22,379900,382080,370000,387000,0,1520 Alemany St,3,3,2388,159,3049,Sqft,2012,143,Open 8/8,https://www.movoto.com/home/1520-alemany-st-morrisville-nc-27560-413_2172936
24,365000,359154,341000,375000,14000,1409 Hopedale Dr #47,3,4,2217,165,2265,Sqft,2020,90,,https://www.movoto.com/home/1409-hopedale-dr-apt-47-morrisville-nc-27560-413_2330747
28,239900,258951,237000,287000,0,1113 Hamlet Park Dr,3,3,1463,164,1742,Sqft,2003,132,,https://www.movoto.com/home/1113-hamlet-park-dr-morrisville-nc-27560-413_2326964
29,439000,534040,439000,566000,0,304 Star Magnolia Dr,4,4,3160,139,8276,Sqft,2003,57,,https://www.movoto.com/home/304-star-magnolia-dr-morrisville-nc-27560-413_2330021
29,345000,0,284000,353000,14000,1421 Hopedale Dr #44,3,3,1763,196,2265,Sqft,2020,90,,https://www.movoto.com/home/1421-hopedale-dr-apt-44-morrisville-nc-27560-413_2329936
29,345000,0,346000,367000,11000,1425 Hopedale Dr #43,3,3,1763,196,2526,Sqft,2020,90,,https://www.movoto.com/home/1425-hopedale-dr-apt-43-morrisville-nc-27560-413_2329914
37,369900,466310,370000,513000,4000,1129 Circandian Ct,4,3,2743,135,4356,Sqft,2008,66,,https://www.movoto.com/home/1129-circandian-ct-morrisville-nc-27560-413_2328301
38,405000,405704,349000,455000,5000,2212 Mayo Forest Ln,3,3,2444,166,0.30,Acres,2009,49,,https://www.movoto.com/home/2212-mayo-forest-ln-morrisville-nc-27560-413_2328170
40,369000,412152,370000,428000,19000,134 Prestonian Pl,3,3,2642,140,3920,Sqft,2000,206,,https://www.movoto.com/home/134-prestonian-pl-morrisville-nc-27560-413_2327714
42,326900,350130,327000,359000,0,1050 Myers Point Dr,4,4,2122,154,1830,Sqft,2020,130,,https://www.movoto.com/home/1050-myers-point-dr-morrisville-nc-27560-413_2327340
43,374900,0,357000,443000,15000,1025 Urbana Dr #32,3,4,2217,169,2788,Sqft,2020,90,,https://www.movoto.com/home/1025-urbana-dr-apt-32-morrisville-nc-27560-413_2327033
57,237000,259880,237000,286000,0,813 Hamlet Park Dr,3,3,1460,162,1307,Sqft,2003,132,,https://www.movoto.com/home/813-hamlet-park-dr-morrisville-nc-27560-413_2291728
57,350000,382806,350000,402000,0,308 Princess Pl,3,4,2754,127,4356,Sqft,2016,164,,https://www.movoto.com/home/308-princess-pl-morrisville-nc-27560-413_2324502
77,475000,442308,423000,475000,1000,140 Cotten Dr,4,4,2697,176,5663,Sqft,2021,125,,https://www.movoto.com/home/140-cotten-dr-morrisville-nc-27560-413_2320708
82,309990,358020,308000,394000,0,1105 Garden Square Ln,3,3,1989,156,3485,Sqft,2010,150,,https://www.movoto.com/home/1105-garden-square-ln-morrisville-nc-27560-413_2319720
84,450000,373572,357000,450000,15000,172 Cotten Dr,4,4,2306,195,3920,Sqft,2020,125,,https://www.movoto.com/home/172-cotten-dr-morrisville-nc-27560-413_2319420
89,425000,404975,393000,424000,10000,1005 Craigmeade Dr,4,3,2425,175,4356,Sqft,2017,108,,https://www.movoto.com/home/1005-craigmeade-dr-morrisville-nc-27560-413_2318350
100,376000,0,357000,443000,23000,1029 Urbana Dr #33,3,4,2217,170,2570,Sqft,2020,90,,https://www.movoto.com/home/1029-urbana-dr-apt-33-morrisville-nc-27560-413_2316105
112,312500,351198,304000,388000,3000,303 Founders Walk Dr,3,3,1962,159,3485,Sqft,2002,110,,https://www.movoto.com/home/303-founders-walk-dr-morrisville-nc-27560-413_2285568
115,326300,341642,327000,350000,0,1042 Myers Point Dr,4,4,2122,154,1830,Sqft,2020,130,,https://www.movoto.com/home/1042-myers-point-dr-morrisville-nc-27560-413_2313587
116,353100,382398,354000,396000,0,490 Church St,4,4,2346,151,2091,Sqft,2020,130,,https://www.movoto.com/home/490-church-st-morrisville-nc-27560-413_2313407
116,356000,382398,357000,396000,0,488 Church St,4,4,2346,152,2091,Sqft,2020,130,,https://www.movoto.com/home/488-church-st-morrisville-nc-27560-413_2313397
116,344100,388218,345000,436000,0,486 Church St,4,4,2181,158,2091,Sqft,2020,130,,https://www.movoto.com/home/486-church-st-morrisville-nc-27560-413_2313388
126,380000,0,357000,443000,19000,1021 Urbana Dr #31,3,4,2217,171,2526,Sqft,2020,90,,https://www.movoto.com/home/1021-urbana-dr-apt-31-morrisville-nc-27560-413_2311854
127,301900,284400,277000,302000,8000,100 Kathleen Ct,3,3,1800,168,305,Sqft,2012,129,,https://www.movoto.com/home/100-kathleen-ct-morrisville-nc-27560-413_2311748
160,345500,351141,336000,360000,2000,492 Church St,3,4,2181,158,2091,Sqft,2020,130,,https://www.movoto.com/home/492-church-st-morrisville-nc-27560-413_2304867
160,360900,376052,360000,388000,3000,494 Church St,3,4,2293,157,2614,Sqft,2020,130,,https://www.movoto.com/home/494-church-st-morrisville-nc-27560-413_2304852
162,362900,376052,362000,388000,2000,484 Church St,4,4,2293,158,2614,Sqft,2020,130,,https://www.movoto.com/home/484-church-st-morrisville-nc-27560-413_2304377
171,349000,0,349000,369000,9000,1404 Hopedale Dr #13,3,3,1866,187,2526,Sqft,2020,90,Open 8/8,https://www.movoto.com/home/1404-hopedale-dr-apt-13-morrisville-nc-27560-413_2302646
172,329900,350837,330000,356000,8000,1408 Hopedale Dr #12,3,3,1763,187,2526,Sqft,2020,90,Open 8/8,https://www.movoto.com/home/1408-hopedale-dr-apt-12-morrisville-nc-27560-413_2302554
181,359900,412896,350000,469000,2000,506 Church St,4,4,2346,153,2047,Sqft,2020,130,,https://www.movoto.com/home/506-church-st-morrisville-nc-27560-413_2300959
182,348000,383856,325000,436000,2000,508 Church St,3,4,2181,160,2091,Sqft,2020,130,,https://www.movoto.com/home/508-church-st-morrisville-nc-27560-413_2300890
189,475000,465970,408000,548000,14000,206 Cotten Dr,4,4,2741,173,4792,Sqft,2020,125,,https://www.movoto.com/home/206-cotten-dr-morrisville-nc-27560-413_2299475
218,329900,364056,331000,366000,11000,1412 Hopedale Dr #11,3,3,1848,179,2526,Sqft,2020,90,Open 8/8,https://www.movoto.com/home/1412-hopedale-dr-apt-11-morrisville-nc-27560-413_2294471
