Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Days,Lot,unit,Year,HOA,Open,Link
235000,261778,234000,292000,0,705 Keystone Park Dr #35,3,3,1606,146,Listed Today,1873,Sqft,2008,154,,https://www.movoto.com/home/705-keystone-park-dr-apt-35-morrisville-nc-27560-413_2335554
237000,245280,232000,257000,0,813 Hamlet Park Dr,3,3,1460,162,56,1307,Sqft,2003,132,,https://www.movoto.com/home/813-hamlet-park-dr-morrisville-nc-27560-413_2291728
238000,226590,214000,238000,0,209 Canyon Lake Cir,3,3,1365,174,3,1742,Sqft,2001,101,,https://www.movoto.com/home/209-canyon-lake-cir-morrisville-nc-27560-413_2334776
239900,245784,233000,257000,0,1113 Hamlet Park Dr,3,3,1463,164,27,1742,Sqft,2003,132,,https://www.movoto.com/home/1113-hamlet-park-dr-morrisville-nc-27560-413_2326964
270000,269346,247000,298000,0,2148 Junewood Ln,3,3,1694,159,Listed Today,2614,Sqft,2013,157,,https://www.movoto.com/home/2148-junewood-ln-morrisville-nc-27560-413_2335429
295500,271836,242000,295000,0,216 Durants Neck Ln,3,4,1678,176,5,2178,Sqft,2014,130,Open 8/8,https://www.movoto.com/home/216-durants-neck-ln-morrisville-nc-27560-413_2334618
300000,0,280000,330000,0,1057 Semora Ln,3,3,1764,170,1,4008,Sqft,2014,220,,https://www.movoto.com/home/1057-semora-ln-morrisville-nc-27560-413_2335373
301900,284400,277000,302000,8000,100 Kathleen Ct,3,3,1800,168,126,305,Sqft,2012,129,,https://www.movoto.com/home/100-kathleen-ct-morrisville-nc-27560-413_2311748
309000,318257,287000,333000,0,809 Meeting Hall Dr,3,3,1649,187,3,4792,Sqft,2002,110,,https://www.movoto.com/home/809-meeting-hall-dr-morrisville-nc-27560-413_2334814
309990,358020,310000,394000,0,1105 Garden Square Ln,3,3,1989,156,81,3485,Sqft,2010,150,,https://www.movoto.com/home/1105-garden-square-ln-morrisville-nc-27560-413_2319720
312000,361638,312000,396000,0,112 Plank Bridge Way,4,3,1998,156,11,3049,Sqft,2006,185,,https://www.movoto.com/home/112-plank-bridge-way-morrisville-nc-27560-413_2333345
312500,355122,306000,388000,3000,303 Founders Walk Dr,3,3,1962,159,111,3485,Sqft,2002,110,,https://www.movoto.com/home/303-founders-walk-dr-morrisville-nc-27560-413_2285568
315000,332856,282000,355000,0,700 Meeting Hall Dr,3,3,1809,174,7,4792,Sqft,2002,110,,https://www.movoto.com/home/700-meeting-hall-dr-morrisville-nc-27560-pid_s64x43b5jh
