price,estimated,min,max,reduced,address,city,state,zip,beds,baths,size,psqft,days,lot,unit,year,hoa,open,link
287500,264535,205000,302000,2,106 Tayport Ct,Cary,NC,27519,3,2,1385,208,28,0.78,Acres,1978,0,,https://www.movoto.com/home/106-tayport-ct-cary-nc-27511-413_2328936
284900,246012,228000,285000,0,1203 Gatehouse Dr,Cary,NC,27519,3,2,1482,192,16,0.37,Acres,1976,0,,https://www.movoto.com/home/1203-gatehouse-dr-cary-nc-27511-413_2330957
315000,277292,264000,316000,0,104 Maple Hill Dr,Cary,NC,27519,3,3,1532,206,25,7841,Sqft,1995,47,,https://www.movoto.com/home/104-maple-hill-dr-cary-nc-27519-413_2183251
495000,0,249000,494000,55,7000 Carpenter Fire Station Rd,Cary,NC,27519,3,2,1535,322,20,1.98,Acres,1972,0,,https://www.movoto.com/home/7000-carpenter-fire-station-rd-cary-nc-27519-413_2234422
296500,294272,257000,331000,0,104 Miramar Ct,Cary,NC,27519,3,2,1672,177,2,0.28,Acres,1989,15,,https://www.movoto.com/home/104-miramar-ct-cary-nc-27513-413_2333941
320000,329280,301000,366000,0,102 New Holland Pl,Cary,NC,27519,3,3,1680,190,3,5227,Sqft,1995,47,,https://www.movoto.com/home/102-new-holland-pl-cary-nc-27519-413_2333717
325000,312800,265000,359000,4,204 Skyros Loop,Cary,NC,27519,3,3,1700,191,27,2178,Sqft,2013,91,,https://www.movoto.com/home/204-skyros-loop-cary-nc-27519-413_2329008
329900,283528,215000,330000,0,103 Oakmist Dr,Cary,NC,27519,3,3,1708,193,7,8276,Sqft,1992,10,,https://www.movoto.com/home/103-oakmist-dr-cary-nc-27513-413_2333166
459900,403104,387000,460000,17,813 Churton Pl,Cary,NC,27519,3,2,1824,252,12,5009,Sqft,2020,180,,https://www.movoto.com/home/813-churton-pl-cary-nc-27518-413_2331958
339500,0,241000,340000,0,410 Fly Bridge Dr,Cary,NC,27519,3,3,1827,186,10,3049,Sqft,2012,241,,https://www.movoto.com/home/410-fly-bridge-dr-cary-nc-27519-413_2332364
385000,0,278000,384000,10,109 Quarter Path,Cary,NC,27519,3,3,1829,210,23,8276,Sqft,1992,122,,https://www.movoto.com/home/109-quarter-path-cary-nc-27518-413_2134307
337500,344955,296000,388000,0,406 Brook Creek Dr,Cary,NC,27519,3,2,1885,179,Listed Today,10454,Sqft,1994,47,tusday,https://www.movoto.com/home/406-brook-creek-dr-cary-nc-27519-413_2334255
367200,362688,349000,378000,0,411 King Closer Dr,Cary,NC,27519,4,3,1889,194,4,4356,Sqft,2020,154,,https://www.movoto.com/home/411-king-closer-dr-cary-nc-27519-413_2333422
329000,306504,293000,329000,0,110 Bebington Dr,Cary,NC,27519,3,3,1892,174,Listed Today,7405,Sqft,1993,13,,https://www.movoto.com/home/110-bebington-dr-cary-nc-27513-413_2334237
339900,378100,340000,414000,0,247 Joshua Ln,Cary,NC,27519,4,3,1900,179,30,3920,Sqft,2004,185,,https://www.movoto.com/home/247-joshua-ln-cary-nc-27519-413_2328295
299900,351321,299000,402000,0,1203 Pond St,Cary,NC,27519,4,3,1941,155,Listed Today,0.48,Acres,1964,0,,https://www.movoto.com/home/1203-pond-st-cary-nc-27511-413_2334229
365000,305679,273000,364000,0,1113 Laurel Twist Rd,Cary,NC,27519,3,3,1947,187,7,3049,Sqft,2017,150,,https://www.movoto.com/home/1113-laurel-twist-rd-cary-nc-27513-413_2132772
389000,359961,338000,389000,0,224 Custer Trl,Cary,NC,27519,4,3,1967,198,Listed Today,10454,Sqft,1992,13,,https://www.movoto.com/home/224-custer-trl-cary-nc-27513-pid_zt2x43b5jh
374400,380210,370000,386000,0,413 King Closer Dr,Cary,NC,27519,4,3,1970,190,4,436,Sqft,2020,154,,https://www.movoto.com/home/413-king-closer-dr-cary-nc-27519-413_2333441
285999,298678,281000,313000,0,134 Braeside Ct,Cary,NC,27519,4,4,1978,145,22,1307,Sqft,2006,155,,https://www.movoto.com/home/134-braeside-ct-cary-nc-27519-413_2329885
399999,380190,312000,442000,0,110 Carpenter Town Ln,Cary,NC,27519,3,3,2001,200,3,6098,Sqft,1998,69,,https://www.movoto.com/home/110-carpenter-town-ln-cary-nc-27513-413_2333568
375000,0,339000,421000,0,126 Talon Dr,Cary,NC,27519,3,3,2003,187,1,0.25,Acres,1994,13,,https://www.movoto.com/home/126-talon-dr-cary-nc-27518-413_2318750
345000,359832,318000,424000,0,291 High Meadow Dr,Cary,NC,27519,3,2,2068,167,3,0.27,Acres,1978,28,,https://www.movoto.com/home/291-high-meadow-dr-cary-nc-27511-413_2333554
383280,408775,384000,436000,0,1645 Clayfire Dr,Cary,NC,27519,4,3,2075,185,4,4356,Sqft,2020,154,,https://www.movoto.com/home/1645-clayfire-dr-cary-nc-27519-413_2333462
365000,0,338000,429000,0,120 Franklin Hills Pt,Cary,NC,27519,3,3,2113,173,22,0.28,Acres,2007,187,,https://www.movoto.com/home/120-franklin-hills-pt-cary-nc-27519-413_2329783
475000,510920,475000,536000,0,613 Churton Pl,Cary,NC,27519,3,3,2120,224,8,6273,Sqft,2020,180,,https://www.movoto.com/home/613-churton-pl-cary-nc-27518-413_2332808
340000,335276,306000,382000,0,304 Wyatts Pond Ln,Cary,NC,27519,3,3,2122,160,14,0.29,Acres,1985,0,,https://www.movoto.com/home/304-wyatts-pond-ln-cary-nc-27513-413_2331717
470000,413412,365000,471000,15,705 Modena Dr,Cary,NC,27519,3,3,2199,214,25,0.70,Acres,1995,0,,https://www.movoto.com/home/705-modena-dr-cary-nc-27513-413_2329174
399900,438570,396000,483000,0,421 Methven Grove Dr,Cary,NC,27519,3,3,2215,181,7,2614,Sqft,2015,125,,https://www.movoto.com/home/421-methven-grove-dr-cary-nc-27519-413_2332904
355000,360453,326000,433000,0,609 Balsam Fir Dr,Cary,NC,27519,4,4,2267,157,1,1742,Sqft,2016,241,,https://www.movoto.com/home/609-balsam-fir-dr-cary-nc-27519-413_2313673
360000,416416,359000,428000,0,207 Castlebury Creek Ct,Cary,NC,27519,4,3,2288,157,Listed Today,0.26,Acres,1998,47,friday,https://www.movoto.com/home/207-castlebury-creek-ct-cary-nc-27519-413_2334239
389900,379988,329000,431000,0,103 Dannor Ct,Cary,NC,27519,4,3,2317,168,1,0.34,Acres,1984,0,,https://www.movoto.com/home/103-dannor-ct-cary-nc-27511-413_2334203
449900,371360,309000,450000,0,100 Queensferry Rd,Cary,NC,27519,4,3,2321,194,14,0.48,Acres,1978,8,,https://www.movoto.com/home/100-queensferry-rd-cary-nc-27511-413_2195485
400000,373173,277000,472000,0,316 Tweed Cir,Cary,NC,27519,3,3,2347,170,27,4356,Sqft,1985,340,,https://www.movoto.com/home/316-tweed-cir-cary-nc-27511-413_2325306
280000,524040,281000,698000,20,454 Pebble Creek Dr,Cary,NC,27519,3,4,2382,118,14,1742,Sqft,1975,158,,https://www.movoto.com/home/454-pebble-creek-dr-cary-nc-27511-413_2331511
375000,0,347000,434000,0,116 Silverridge Ct,Cary,NC,27519,4,4,2413,155,20,0.30,Acres,1992,14,,https://www.movoto.com/home/116-silverridge-ct-cary-nc-27513-413_2330398
350000,399668,351000,424000,0,1068 Kingston Grove Dr,Cary,NC,27519,3,3,2437,144,7,2614,Sqft,2007,0,,https://www.movoto.com/home/1068-kingston-grove-dr-cary-nc-27519-413_2332899
425000,409860,336000,460000,0,1416 Kildaire Farm Rd,Cary,NC,27519,4,3,2530,168,3,0.35,Acres,1979,4,,https://www.movoto.com/home/1416-kildaire-farm-rd-cary-nc-27511-413_2333726
458000,439939,417000,476000,0,203 Hickorywood Blvd,Cary,NC,27519,4,3,2543,180,22,0.31,Acres,1998,55,,https://www.movoto.com/home/203-hickorywood-blvd-cary-nc-27519-413_2329844
500000,0,452000,692000,0,1646 Vineyard Mist Dr,Cary,NC,27519,3,3,2553,196,22,7057,Sqft,2018,242,,https://www.movoto.com/home/1646-vineyard-mist-dr-cary-nc-27519-413_2329876
350000,459952,349000,501000,0,102 Springwater Ct,Cary,NC,27519,4,3,2584,135,1,7841,Sqft,1991,10,,https://www.movoto.com/home/102-springwater-ct-cary-nc-27513-413_2334154
403900,404395,339000,467000,0,201 E Wind Ln,Cary,NC,27519,3,3,2609,155,Listed Today,4792,Sqft,1985,301,monday,https://www.movoto.com/home/201-e-wind-ln-cary-nc-27518-413_2305406
400000,0,376000,470000,25,605 Kingswood Dr,Cary,NC,27519,4,3,2611,153,8,0.27,Acres,1992,0,,https://www.movoto.com/home/605-kingswood-dr-cary-nc-27513-pid_w8wy43b5jh
465000,367377,309000,465000,0,626 Chronicle Dr,Cary,NC,27519,4,4,2643,176,8,3485,Sqft,2017,178,,https://www.movoto.com/home/626-chronicle-dr-cary-nc-27513-413_2107344
450000,471528,389000,519000,0,403 Canon Gate Dr,Cary,NC,27519,4,3,2664,169,1,0.25,Acres,1999,48,,https://www.movoto.com/home/403-canon-gate-dr-cary-nc-27518-413_2333949
489000,477572,456000,528000,10,213 Oakmere Dr,Cary,NC,27519,3,4,2668,183,21,0.26,Acres,2018,78,,https://www.movoto.com/home/213-oakmere-dr-cary-nc-27513-413_2330095
469900,429870,368000,502000,0,737 Toms Creek Rd,Cary,NC,27519,4,3,2670,176,15,0.25,Acres,2015,99,,https://www.movoto.com/home/737-toms-creek-rd-cary-nc-27519-413_2331416
491540,445665,424000,492000,7,117 Parkcrest Dr,Cary,NC,27519,5,3,2701,182,27,10454,Sqft,1992,53,,https://www.movoto.com/home/117-parkcrest-dr-cary-nc-27519-413_2329047
415000,414150,375000,497000,0,118 Naperville Dr,Cary,NC,27519,4,3,2761,150,15,4356,Sqft,2004,40,,https://www.movoto.com/home/118-naperville-dr-cary-nc-27519-413_2151761
489900,453140,375000,539000,0,304 N West St,Cary,NC,27519,3,3,2780,176,63,6534,Sqft,2020,0,,https://www.movoto.com/home/304-n-west-st-cary-nc-27513-413_2321937
499900,530536,409000,652000,10,1623 Vineyard Mist Dr,Cary,NC,27519,3,3,2822,177,17,6970,Sqft,2017,240,,https://www.movoto.com/home/1623-vineyard-mist-dr-cary-nc-27519-413_2148417
