Status,Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Days,Lot,Unit,Year,HOA,Open,Link
FOR SALE,275000,285600,272000,292000,,508 Berlin Way,3,3,1680,164,1,3049,Sqft,2002,100, ,https://www.movoto.com/home/508-berlin-way-morrisville-nc-27560-413_2337001
FOR SALE,299900,271500,236000,300000,,300 Downing Glen Dr,3,3,1500,200,1,7405,Sqft,2001,33, ,https://www.movoto.com/home/300-downing-glen-dr-morrisville-nc-27560-413_2336721
FOR SALE,335000,336474,280000,358000,,142 Singer Way,3,3,1809,,,,,,,Open 8/16,https://www.movoto.com/home/142-singer-way-morrisville-nc-27560-413_2336264
FOR SALE,489900,540969,480000,583000,,300 Ruthwin Dr,4,3,3201,153,6,9148,Sqft,2006,60, ,https://www.movoto.com/home/300-ruthwin-dr-morrisville-nc-27560-413_2336096
Coming Soon - 08/08,379500,380016,358000,432000,,1021 Lakebrink Dr,3,3,2184,174,6,3049,Sqft,2018,108, ,https://www.movoto.com/home/1021-lakebrink-dr-morrisville-nc-27560-413_2336062
FOR SALE,369900,375066,366000,388000,,1320 Hopedale Dr #19,3,3,1866,,,,,,, ,https://www.movoto.com/home/1320-hopedale-dr-apt-19-morrisville-nc-27560-413_2335061
FOR SALE,357900,369660,359000,381000,,1328 Hopedale Dr #17,3,3,1830,196,10,2526,Sqft,2020,90, ,https://www.movoto.com/home/1328-hopedale-dr-apt-17-morrisville-nc-27560-413_2335055
FOR SALE,353900,351200,344000,365000,,1324 Hopedale Dr #18,3,3,1756,202,10,2526,Sqft,2020,90, ,https://www.movoto.com/home/1324-hopedale-dr-apt-18-morrisville-nc-27560-413_2335035
FOR SALE,349900,354363,346000,367000,,1332 Hopedale Dr #16,3,3,1763,198,10,2526,Sqft,2020,90, ,https://www.movoto.com/home/1332-hopedale-dr-apt-16-morrisville-nc-27560-413_2335031
FOR SALE,349900,352956,344000,365000,,1336 Hopedale Dr #15,3,3,1756,199,10,2526,Sqft,2020,90, ,https://www.movoto.com/home/1336-hopedale-dr-apt-15-morrisville-nc-27560-413_2334978
FOR SALE,367900,352230,347000,368000,,1400 Hopedale Dr #14,3,3,1770,208,10,2526,Sqft,2020,90, ,https://www.movoto.com/home/1400-hopedale-dr-apt-14-morrisville-nc-27560-413_2334973
FOR SALE,389000,419698,381000,454000,,100 Prestonian Pl,3,3,2426,160,11,3485,Sqft,1999,200, ,https://www.movoto.com/home/100-prestonian-pl-morrisville-nc-27560-413_2286167
FOR SALE,238000,225225,220000,238000,,209 Canyon Lake Cir,3,3,1365,,,,,,, ,https://www.movoto.com/home/209-canyon-lake-cir-morrisville-nc-27560-413_2334776
FOR SALE,295500,302040,275000,329000,,216 Durants Neck Ln,3,4,1678,176,13,2178,Sqft,2014,130, ,https://www.movoto.com/home/216-durants-neck-ln-morrisville-nc-27560-413_2334618
FOR SALE,444900,455338,420000,510000,5000,1109 Forest Willow Ln,4,3,2743,162,16,8276,Sqft,2010,49,Open 8/15,https://www.movoto.com/home/1109-forest-willow-ln-morrisville-nc-27560-413_2333883
Coming Soon - 07/28,310000,334488,309000,362000,,339 Scotlow Way,3,3,1848,168,16,2614,Sqft,2012,109, ,https://www.movoto.com/home/339-scotlow-way-morrisville-nc-27560-413_2333803
Coming Soon - 07/27,430000,442058,407000,495000,,1404 Everette Fields Rd,4,3,2663,161,18,8712,Sqft,2012,49, ,https://www.movoto.com/home/1404-everette-fields-rd-morrisville-nc-27560-413_2333392
FOR SALE,312000,364353,312000,399000,,112 Plank Bridge Way,4,3,2013,155,19,3049,Sqft,2006,185, ,https://www.movoto.com/home/112-plank-bridge-way-morrisville-nc-27560-413_2333345
FOR SALE,444000,,413000,499000,6000,6325 Kit Creek Rd,4,3,3060,145,24,6098,Sqft,2005,70, ,https://www.movoto.com/home/6325-kit-creek-rd-morrisville-nc-27560-413_2332227
FOR SALE,329900,346800,314000,400000,5000,1016 Coreopsis Way,4,4,2040,162,24,1742,Sqft,2010,145, ,https://www.movoto.com/home/1016-coreopsis-way-morrisville-nc-27560-413_2332164
FOR SALE,365000,362186,342000,376000,20000,1405 Hopedale Dr #48,3,4,2222,164,28,2265,Sqft,2020,90, ,https://www.movoto.com/home/1405-hopedale-dr-apt-48-morrisville-nc-27560-413_2331498
FOR SALE,449900,497466,397000,546000,15000,400 Star Magnolia Dr,4,3,2859,157,29,6098,Sqft,2006,57, ,https://www.movoto.com/home/400-star-magnolia-dr-morrisville-nc-27560-413_2328907
FOR SALE,379900,384468,370000,401000,,1520 Alemany St,3,3,2388,159,29,3049,Sqft,2012,143, ,https://www.movoto.com/home/1520-alemany-st-morrisville-nc-27560-413_2172936
FOR SALE,365000,359154,341000,375000,14000,1409 Hopedale Dr #47,3,4,2217,,,,,,, ,https://www.movoto.com/home/1409-hopedale-dr-apt-47-morrisville-nc-27560-413_2330747
FOR SALE,239900,258951,237000,287000,,1113 Hamlet Park Dr,3,3,1463,164,35,1742,Sqft,2003,132, ,https://www.movoto.com/home/1113-hamlet-park-dr-morrisville-nc-27560-413_2326964
FOR SALE,439000,568800,439000,632000,,304 Star Magnolia Dr,4,4,3160,139,36,8276,Sqft,2003,57, ,https://www.movoto.com/home/304-star-magnolia-dr-morrisville-nc-27560-413_2330021
FOR SALE,345000,,346000,356000,14000,1421 Hopedale Dr #44,3,3,1763,196,36,2265,Sqft,2020,90, ,https://www.movoto.com/home/1421-hopedale-dr-apt-44-morrisville-nc-27560-413_2329936
FOR SALE,345000,,346000,367000,11000,1425 Hopedale Dr #43,3,3,1763,196,36,2526,Sqft,2020,90, ,https://www.movoto.com/home/1425-hopedale-dr-apt-43-morrisville-nc-27560-413_2329914
FOR SALE,369900,482768,370000,532000,4000,1129 Circandian Ct,4,3,2743,,,,,,, ,https://www.movoto.com/home/1129-circandian-ct-morrisville-nc-27560-413_2328301
FOR SALE,326900,350130,327000,359000,,1050 Myers Point Dr,4,4,2122,,,,,,, ,https://www.movoto.com/home/1050-myers-point-dr-morrisville-nc-27560-413_2327340
FOR SALE,374900,,353000,386000,15000,1025 Urbana Dr #32,3,4,2217,,,,,,, ,https://www.movoto.com/home/1025-urbana-dr-apt-32-morrisville-nc-27560-413_2327033
FOR SALE,237000,259880,237000,286000,,813 Hamlet Park Dr,3,3,1460,162,64,1307,Sqft,2003,132,Open 8/16,https://www.movoto.com/home/813-hamlet-park-dr-morrisville-nc-27560-413_2291728
FOR SALE,350000,429624,350000,460000,,308 Princess Pl,3,4,2754,127,64,4356,Sqft,2016,164, ,https://www.movoto.com/home/308-princess-pl-morrisville-nc-27560-413_2324502
FOR SALE,475000,463884,423000,504000,1000,140 Cotten Dr,4,4,2697,,,,,,, ,https://www.movoto.com/home/140-cotten-dr-morrisville-nc-27560-413_2320708
FOR SALE,450000,373572,357000,450000,15000,172 Cotten Dr,4,4,2306,195,91,3920,Sqft,2020,125, ,https://www.movoto.com/home/172-cotten-dr-morrisville-nc-27560-413_2319420
FOR SALE,425000,419525,398000,449000,10000,1005 Craigmeade Dr,4,3,2425,175,96,4356,Sqft,2017,108, ,https://www.movoto.com/home/1005-craigmeade-dr-morrisville-nc-27560-413_2318350
FOR SALE,376000,,364000,386000,23000,1029 Urbana Dr #33,3,4,2217,170,107,2570,Sqft,2020,90,Open 8/15,https://www.movoto.com/home/1029-urbana-dr-apt-33-morrisville-nc-27560-413_2316105
FOR SALE,312500,341388,304000,388000,3000,303 Founders Walk Dr,3,3,1962,159,119,3485,Sqft,2002,110, ,https://www.movoto.com/home/303-founders-walk-dr-morrisville-nc-27560-413_2285568
FOR SALE,326300,341642,327000,350000,,1042 Myers Point Dr,4,4,2122,154,122,1830,Sqft,2020,130, ,https://www.movoto.com/home/1042-myers-point-dr-morrisville-nc-27560-413_2313587
FOR SALE,353100,382398,354000,396000,,490 Church St,4,4,2346,151,123,2091,Sqft,2020,130, ,https://www.movoto.com/home/490-church-st-morrisville-nc-27560-413_2313407
